video_id,title,description,publishedAt,viewCount,likeCount,commentCount,name,song,date,lyrics,score,viewRank,likeRank,commentRank,viewRankAll,likeRankAll,commentRankAll
SszP3hlQ55Y,ATEEZ(에이티즈) - 'HALAZIA' Official MV,"[SPIN OFF : FROM THE WITNESS]
Release Date: 2022. 12. 30
 
iTunes ▶ https://apple.co/3G56yY5
Spotify ▶ https://spoti.fi/3Cb4xZf
Melon ▶ http://kko.to/CbEONu6G8v
genie ▶ http://genie.co.kr/REOG18
VIBE ▶ http://naver.me/Ix71XCiH

▶ ATEEZ Official Homepage:
http://ateez.kqent.com
▶ ATEEZ Official Facebook:
https://facebook.com/ATEEZofficial
▶ ATEEZ Official Twitter:
https://twitter.com/ATEEZofficial
▶ ATEEZ Official Instagram:
https://instagram.com/ATEEZ_official_
▶ ATEEZ Official Fancafe:
http://cafe.daum.net/ATEEZ

▶ KQ Official Homepage: 
http://kqent.com
▶ KQ Official Facebook: 
https://facebook.com/kqent
▶ KQ Official Twitter: 
https://twitter.com/kqent
▶ KQ Official Instagram:
https://instagram.com/kqent

#ATEEZ #에이티즈 #FROM_THE_WITNESS",2022-12-30 05:00:02,35424533,680841,109812,ATEEZ,HALAZIA,2022-12-30,oh light oh light oh light be the light oh halazia oh no everything has become barren ooh yeah we all try but we lose emotion getting used to the feeling of losing getting paralyzed in shackled freedom a small fantasy within me oh halazia halazia halazia i want to hear the sound of love s breath i want to know if it s okay this way mm the little blue bird that lost its voice i can hear the whispers the beginnings of a deep echo the voice that will overturn the world hala hala hala hala halazia hala hala hala hala halazia hala hala hala hala halazia hala hala hala hala halazia i can t feel what it s like to be alive even now in this momеnt color this infinitely cold world be the light oh halazia plеase let me take real breaths let me dance a real dance let me dream a real dream and let me feel all these senses even love has been swallowed up when waves are made here in this place this movement that will last forever who are you uh it s just me myself and i who are you who are you reflected in the mirror who are you behind this road lies expectations within expectations where do i stand among the next and future generations,0.97,1.0,2.0,2.0,12.0,14.0,8.0
2HcVZm_4qAI,ATEEZ(에이티즈) - ‘Guerrilla’ Official MV,"[THE WORLD EP.1 : MOVEMENT]
Release Date: 2022. 7. 29. 

iTunes ▶ https://apple.co/3PN8iJs
Spotify ▶  https://spoti.fi/3BpPD1K
YouTube Music ▶ https://bit.ly/3cPATil
Melon ▶ https://kko.to/lzFfZ2XU1
genie ▶ http://genie.co.kr/1B5Q05
VIBE ▶ https://vibe.naver.com/album/7840929

▶ ATEEZ Official Homepage:
http://ateez.kqent.com
▶ ATEEZ Official Facebook:
https://facebook.com/ATEEZofficial
▶ ATEEZ Official Twitter:
https://twitter.com/ATEEZofficial
▶ ATEEZ Official Instagram:
https://instagram.com/ATEEZ_official_
▶ ATEEZ Official Fancafe:
http://cafe.daum.net/ATEEZ

▶ KQ Official Homepage: 
http://kqent.com
▶ KQ Official Facebook: 
https://facebook.com/kqent
▶ KQ Official Twitter: 
https://twitter.com/kqent
▶ KQ Official Instagram:
https://instagram.com/kqent

#ATEEZ #에이티즈 #MOVEMENT",2022-07-29 04:00:07,32060585,839001,162226,ATEEZ,Guerrilla,2022-07-29,i got it back turn the board over this game one chance right now at this time like that short and intense escape no next just follow me easily boring boring sick and tired again stretch out now look at the new world boring boring sick and tired again so bored now so long disappearing emotion expression is losing the light laughter is controlled only numbness left no oh can t bear it no more lies it s the time shoot the flashing light dance break that wall with our feel spread it out guerrilla this is how we shout loudly keep it loud until еveryone opens thеir eyes dance break that wall with our feel spread it out guerrilla this is how we fight now we re gonna ride wake up the world we are woah dance break that wall with our feel will change the world we are the guerrillas,-0.9704,2.0,1.0,1.0,13.0,12.0,6.0
yxfCbV21ck8,ATEEZ(에이티즈) - ‘멋(The Real) (흥 : 興 Ver.)’ Official MV,"iTunes ▶ https://apple.co/33ieohv
Spotify ▶ https://spoti.fi/3DEpLg5
YouTube Music ▶ https://bit.ly/3pO12kN
Melon ▶ http://kko.to/VfXE2uFfH 
genie ▶ http://genie.co.kr/UOBJR5
VIBE ▶ http://naver.me/xGKMnhnH

Release Date: 2021. 12. 10 6PM (KST)

▶ ATEEZ Official Homepage:
http://ateez.kqent.com
▶ ATEEZ Official V LIVE: 
http://channels.vlive.tv/C057DB
▶ ATEEZ Official Facebook:
https://facebook.com/ATEEZofficial
▶ ATEEZ Official Twitter:
https://twitter.com/ATEEZofficial
▶ ATEEZ Official Instagram:
https://instagram.com/ATEEZ_official_
▶ ATEEZ Official Fancafe:
http://cafe.daum.net/ATEEZ

▶ KQ Official Homepage: 
http://kqent.com
▶ KQ Official V LIVE: 
http://channels.vlive.tv/CB8675
▶ KQ Official Facebook: 
https://facebook.com/kqent
▶ KQ Official Twitter: 
https://twitter.com/kqent
▶ KQ Official Instagram:
https://instagram.com/kqent

#ATEEZ #에이티즈 #FEVER_EPILOGUE",2021-12-10 09:00:01,39009460,948958,75258,ATEEZ,멋(The Real) (흥 : 興 Ver.),2021-12-10,ayy how you feelin out there ateez present hey man go man hey man go man hey man go man this is what we call style alright stop that all with y all s style oh so useless that swagger such a wrong type keep working on the empty wagon so noisy hmm yes yes looking so ugly frown your brows more but bow in 90 degrees lower your pants more but the steps not dum di ri dum dum di ri dum dum we live our lives in flames but we keep being humble and kindness than anyone i keep my beliefs i put on a pedestal for anyone posture low and your eyes keep it up up up up this is what we call style yunho yeosang jongho listen you all look at us look at our dance wow du ri dum du ri dum du ri dum dum du ri dum du ri du ri du dum du ri dum du ri dum du ri dum dum look at us look at our dance wow fix on they ll think the protagonist is the source of this drama they never know only realize in the end they can t accept the truth but know the reality then it s over soon when you ll collapse soon you ll only realize your place you shouldn t do that you can t do that the authentic is humble humble,0.8474,3.0,3.0,3.0,11.0,11.0,9.0
80WvAnsHOdM,ATEEZ(에이티즈) - ‘야간비행 (Turbulence)’ Official MV,"iTunes ▶ https://apple.co/33ieohv
Spotify ▶ https://spoti.fi/3DEpLg5
YouTube Music ▶ https://bit.ly/3pO12kN
Melon ▶ http://kko.to/VfXE2uFfH 
genie ▶ http://genie.co.kr/UOBJR5
VIBE ▶ http://naver.me/xGKMnhnH

[야간비행(Turbulence)]
M/V Release Date: 2021. 12. 03 6PM (KST)

[ZERO : FEVER EPILOGUE]
Album Release Date: 2021. 12. 10 6PM (KST)

▶ ATEEZ Official Homepage:
http://ateez.kqent.com
▶ ATEEZ Official V LIVE: 
http://channels.vlive.tv/C057DB
▶ ATEEZ Official Facebook:
https://facebook.com/ATEEZofficial
▶ ATEEZ Official Twitter:
https://twitter.com/ATEEZofficial
▶ ATEEZ Official Instagram:
https://instagram.com/ATEEZ_official_
▶ ATEEZ Official Fancafe:
http://cafe.daum.net/ATEEZ

▶ KQ Official Homepage: 
http://kqent.com
▶ KQ Official V LIVE: 
http://channels.vlive.tv/CB8675
▶ KQ Official Facebook: 
https://facebook.com/kqent
▶ KQ Official Twitter: 
https://twitter.com/kqent
▶ KQ Official Instagram:
https://instagram.com/kqent

#ATEEZ #에이티즈 #FEVER_EPILOGUE",2021-12-03 09:00:03,28102328,680081,66695,ATEEZ,야간비행 (Turbulence),2021-12-03,maybe i m still too young hover the black night sky impatience made a turbulence and it distorted us it s falling waterfall endless free fall by the rough wind by the wounded heart as if the world only asks me to fall only endless darkness at the end of this road where should we be what should we become in what form i m already overwhelmed to be myself barely is anyone listening can someone just еmbrace me wherе should we be in what form what should we become and i i want to be where you at fix on don t know the destination falls after wandering around i wander for the right direction wanderer wings are broken and swept away i m scared i m sick and tired it keeps moving away from me the world looked down from a high place does frighten me a journey for an answer in the question of youth it s falling waterfall endless free fall by the rough wind by the wounded heart as if the world only asks me to fall only endless darkness,-0.7783,4.0,4.0,4.0,14.0,15.0,12.0
WJgTnDAmJHc,ATEEZ(에이티즈) - ‘Eternal Sunshine’ Official MV,"Melon ▶ http://kko.to/_libylzf0
genie ▶ http://genie.co.kr/K0GGQ8
VIBE ▶ http://naver.me/GgenrSHa
Spotify ▶ https://spoti.fi/3z4PDzt
iTunes ▶ https://apple.co/3Efhr7U
YouTube Music ▶ https://bit.ly/2Xmap0L

▶ ATEEZ Official Homepage:
http://ateez.kqent.com
▶ ATEEZ Official V LIVE: 
http://channels.vlive.tv/C057DB
▶ ATEEZ Official Facebook:
https://facebook.com/ATEEZofficial
▶ ATEEZ Official Twitter:
https://twitter.com/ATEEZofficial
▶ ATEEZ Official Instagram:
https://instagram.com/ATEEZ_official_
▶ ATEEZ Official Fancafe:
http://cafe.daum.net/ATEEZ

▶ KQ Official Homepage: 
http://kqent.com
▶ KQ Official V LIVE: 
http://channels.vlive.tv/CB8675
▶ KQ Official Facebook: 
https://facebook.com/kqent
▶ KQ Official Twitter: 
https://twitter.com/kqent
▶ KQ Official Instagram:
https://instagram.com/kqent

#ATEEZ #에이티즈 #FEVER_Part_3",2021-10-03 15:00:03,22459893,490603,63587,ATEEZ,Eternal Sunshine,2021-10-03,if i could leave you with one memory what moment would you like to remember if i can leave one memory it will be this moment what you want my treasure hey fix on hoping this scenery is beautiful just whisper if you want to know it i ll promise you i ll get you a star the place you ve been dreaming for is in front of you i m coming up to you look at my heart maybe my night will be in purple with the song of the gentle waves the christmas in august as time passes you and i will make an evеrlasting festival a night where еven the darkness sleeps let the eternal sunshine all right turn it up let s make it louder can t stop the feeling a moment that i felt the sparkling dazzle you know it don t stop believin i want to remember more than eternity we shine like eternal sunshine oh oh oh oh oh oh oh oh oh oh oh oh oh oh we shine like eternal sunshine oh oh oh oh oh oh oh oh oh oh oh oh oh oh we shine like eternal sunshine,0.9906,5.0,5.0,5.0,17.0,17.0,13.0
nlnMDttgTbk,ATEEZ(에이티즈) - ‘Deja Vu’ Official MV,"Melon ▶ http://kko.to/_libylzf0
genie ▶ http://genie.co.kr/K0GGQ8
VIBE ▶ http://naver.me/GgenrSHa
Spotify ▶ https://spoti.fi/3z4PDzt
iTunes ▶ https://apple.co/3Efhr7U
YouTube Music ▶ https://bit.ly/2Xmap0L

Release Date: 2021. 9. 13. 6PM (KST)

▶ ATEEZ Official Homepage:
http://ateez.kqent.com
▶ ATEEZ Official V LIVE: 
http://channels.vlive.tv/C057DB
▶ ATEEZ Official Facebook:
https://facebook.com/ATEEZofficial
▶ ATEEZ Official Twitter:
https://twitter.com/ATEEZofficial
▶ ATEEZ Official Instagram:
https://instagram.com/ATEEZ_official_
▶ ATEEZ Official Fancafe:
http://cafe.daum.net/ATEEZ

▶ KQ Official Homepage: 
http://kqent.com
▶ KQ Official V LIVE: 
http://channels.vlive.tv/CB8675
▶ KQ Official Facebook: 
https://facebook.com/kqent
▶ KQ Official Twitter: 
https://twitter.com/kqent
▶ KQ Official Instagram:
https://instagram.com/kqent

#ATEEZ #에이티즈 #FEVER_Part_3",2021-09-13 09:00:03,65599161,1647987,237678,ATEEZ,Deja Vu,2021-09-13,da da da ra da da da ra da da da ra da da da ra da da da da da ra da da da ra hmm i know but i can t get away either i m drowning to fall save me please don t leave me i m thirsted by desire woah oh my senses are dulled by the attraction that captivates me are you in front of my eyes a dream reality or illusion it feels as if i just had a dream in a dream oh it s like the shivers of my body remembers you i know you get déjà vu i go insane the moment we met each other s eyes i couldn t stop i feel an endless thirst know you get déjà vu da da da ra da da da ra da da da ra oh déjà vu da da da ra da da da da ra da i go insane i want you so bad oh oh please stop looking at me like that you put me on the spot wait wait oh in my dream after this scene it s beep no way if you can t avoid it play it the moment i went insane i m already game set it s about to explode so bad that beckoning must be more dangerous shoot it up shoot it up the scarlet scent burns up and restrains me let me investigate what s in there ready run when we get started we become breathless racing,-0.8745,1.0,1.0,2.0,6.0,2.0,4.0
JUFpIKx6y2c,Kim Jong Kook(김종국) X ATEEZ(에이티즈) - ‘바다 보러 갈래?’ Official MV,"Melon ▶ https://bit.ly/3sjacGy
genie ▶ https://bit.ly/3g6mL3e
Vibe ▶ https://bit.ly/3iM5Pkm
Youtube Music ▶ https://bit.ly/3AZjAT9

Release Date: 2021. 8. 16. 6PM (KST)

▶ ATEEZ Official Homepage:
http://ateez.kqent.com
▶ ATEEZ Official V LIVE: 
http://channels.vlive.tv/C057DB
▶ ATEEZ Official Facebook:
https://facebook.com/ATEEZofficial
▶ ATEEZ Official Twitter:
https://twitter.com/ATEEZofficial
▶ ATEEZ Official Instagram:
https://instagram.com/ATEEZ_official_
▶ ATEEZ Official Fancafe:
http://cafe.daum.net/ATEEZ

▶ KQ Official Homepage: 
http://kqent.com
▶ KQ Official V LIVE: 
http://channels.vlive.tv/CB8675
▶ KQ Official Facebook: 
https://facebook.com/kqent
▶ KQ Official Twitter: 
https://twitter.com/kqent
▶ KQ Official Instagram:
https://instagram.com/kqent

#KIMJONGKOOK #ATEEZ #Season_songs #김종국 #에이티즈",2021-08-16 09:00:01,4880323,321205,43387,ATEEZ,바다 보러 갈래?,2021-08-16,you know i think i love you i haven t told you yet a word in the back of my mind we may become awkward for a while but today i ll say to you do you wanna go see the sea tonight yes kjk we ateez collaboration for all the broken hearts l o v e as if something s going on to you your expression makes me worry saying that i want to see the sea i m giving myself excuse to go see you i m trying to hide my concern about you telling you some lame jokes but my heart wants to take your pain for you ha ha ha bring them bring them who made you cry i m gonna give them a lesson baby it s all right it s all right free your time anytime so we can leave ayy when the sea breeze is good and you smile i can t take it anymore amigo above me after me with hidden intention i hope you don t feel uncomfortable here tonight where the waves hit i will tell you you know i think i love you i haven t told you yet a word in the back of my mind we may become awkward for a while but today i ll say to you do you wanna go see the sea tonight,0.9864,6.0,6.0,6.0,19.0,19.0,14.0
xtcVwuauVV0,ATEEZ(에이티즈) - ‘불놀이야 (I'm The One)’ Official MV,"Melon ▶ https://kko.to/aj3brJeDo
genie ▶ https://bit.ly/3uKpfds
iTunes ▶ https://apple.co/3kwDY6Z
Spotify ▶ https://spoti.fi/3r3D4kI

Release Date: 2021. 3. 1. 6PM (KST)

▶ ATEEZ Official Homepage:
http://ateez.kqent.com
▶ ATEEZ Official V LIVE: 
http://channels.vlive.tv/C057DB
▶ ATEEZ Official Facebook:
https://facebook.com/ATEEZofficial
▶ ATEEZ Official Twitter:
https://twitter.com/ATEEZofficial
▶ ATEEZ Official Instagram:
https://instagram.com/ATEEZ_official_
▶ ATEEZ Official Fancafe:
http://cafe.daum.net/ATEEZ

▶ KQ Official Homepage: 
http://kqent.com
▶ KQ Official V LIVE: 
http://channels.vlive.tv/CB8675
▶ KQ Official Facebook: 
https://facebook.com/kqent
▶ KQ Official Twitter: 
https://twitter.com/kqent
▶ KQ Official Instagram:
https://instagram.com/kqent

#ATEEZ #에이티즈 #FEVER_Part_2",2021-03-01 09:00:00,56296206,1496636,354703,ATEEZ,불놀이야 (I'm The One),2021-03-01,oh yeah oh yeah oh yeah oh yeah i m the one in my zone others just peep look at those drunk fools what s going on here no need to for me it s okay i m sober only my heart heats up more i will clean you up softly we don t need nothing ooh no yeah fix on i m giving you my invitation eyes on me pay attention along with the thumping beat this atmosphere got all tangled it s a mess i m going all wild we re far from the wannabes drunk but not drunk you should feel it too whattup bomb it with the exploding scream woah san right now we are just like fireworks fireworks eh don t stop me don t stop mе eh don t put out the fire as if thе world is ending right now this place is about to explode like fireworks oh na na think about that hey fireworks oh na na ttu ru tta ttae ttu ru tta ttae fireworks oh na na feel about that hey fireworks fireworks ayy,-0.6231,2.0,2.0,1.0,8.0,3.0,1.0
5X8Qn23FRMA,"[EDEN_STARDUST2] vol.07 이든(EDEN), ATEEZ(에이티즈), 마독스(Maddox), Eden-ary - 'Call Me Anytime' Official MV","Release Date: 2020. 12. 30

▶ KQ Official Homepage: 
http://kqent.com
▶ KQ Official V LIVE: 
http://channels.vlive.tv/CB8675
▶ KQ Official Facebook: 
https://facebook.com/kqent
▶ KQ Official Twitter: 
https://twitter.com/kqent
▶ KQ Official Instagram:
https://instagram.com/kqent

#EDEN #ATEEZ #Maddox #Eden_ary #STARDUST2",2020-12-30 09:00:02,516323,56453,4713,ATEEZ,Call Me Anytime,2020-12-30,hey girl it s way too cold outside i don t want you to stay outside freeze to death i want you with me forever just call me baby on this cold winter night if i heard something like this your words i miss you i pray to hear them every night woo oh baby so cold on this night with white snow i want to be with you i ll wait even until forever oh please call me anytime as you want i m ready oh my baby two warm hands and burning heart i m always waiting baby you are all i need you just pick up the phone oh please please please call me my lady i want to dive and swim in your snow white eyes you got a star you are the star you are my star shining so bright oh so so so oh baby so cold on this night with white snow i want to be with you i ll wait even until forever oh please call me anytime oh baby baby baby yeah,0.9807,4.0,4.0,4.0,20.0,20.0,20.0
K7LY9Ta0eiY,ATEEZ(에이티즈) - 'THANXX’ Official MV,"▶ Listen on Spotify: https://open.spotify.com/album/01IFxHiVOY6uf3vUFVXEoI
▶ Listen on iTunes: https://apple.co/31bJumn

▶ ATEEZ Official Homepage:
http://ateez.kqent.com
▶ ATEEZ Official V LIVE: 
http://channels.vlive.tv/C057DB
▶ ATEEZ Official Facebook:
https://facebook.com/ATEEZofficial
▶ ATEEZ Official Twitter:
https://twitter.com/ATEEZofficial
▶ ATEEZ Official Instagram:
https://instagram.com/ATEEZ_official_
▶ ATEEZ Official Fancafe:
http://cafe.daum.net/ATEEZ

▶ KQ Official Homepage: 
http://kqent.com
▶ KQ Official V LIVE: 
http://channels.vlive.tv/CB8675
▶ KQ Official Facebook: 
https://facebook.com/kqent
▶ KQ Official Twitter: 
https://twitter.com/kqent
▶ KQ Official Instagram:
https://instagram.com/kqent

#ATEEZ #에이티즈 #FEVER_Part_1",2020-08-23 15:00:02,63370797,1168897,255927,ATEEZ,THANXX,2020-08-23,you re gonna regret it later you ll know when you get a little older it s always the same thing every time i m sick and tired of it i m sick and tired of it yeah what do you wanna do what do you wanna be when you grow up i don t know it s my first time i think i ll know once i get to live a little more ayy haha do this do that blah blah blah blah if i keep ignoring you i ll have more fun pop pop pop your quality is like bubble gum pum pum pum ah yeah like birds of a feather they gather their lips won t rest just clap your hands lift the blue flag lift the white flag why aren t you listening back in my days kids these days oh dear why don t you just go on your way everything i say is right i know because i went through it yes sir yes sir yes sir gracias your worries no thanks i m okay i m just doing me don t say you re doing this for me leave me alone i m in my own rhythm dancing dancing dancing move move move dancing dancing dancing i ll spend my time however i want,0.5721,3.0,3.0,2.0,7.0,8.0,3.0
